あ,a
い,i
う,u
え,e
お,o
ん,n
か,ka
き,ki
く,ku
け,ke
こ,ko
きゃ,kya
きゅ,kyu
きぇ,kye
きょ,kyo
が,ga
ぎ,gi
ぐ,gu
げ,ge
ご,go
ぎゃ,gya
ぎゅ,gyu
ぎぇ,gye
ぎょ,gyo
さ,sa
し,shi
す,su
せ,se
そ,so
しゃ,sha
しゅ,shu
しぇ,she
しょ,sho
すぃ,si
ざ,za
じ,ji
ず,zu
ぜ,ze
ぞ,zo
じゃ,ja
じゅ,ju
じぇ,je
じょ,jo
ずぃ,zi
た,ta
ち,chi
つ,tsu
て,te
と,to
ちゃ,cha
ちゅ,chu
ちぇ,che
ちょ,cho
つぁ,tsa
つぃ,tsi
つぇ,tse
つぉ,tso
てぃ,ti
とぅ,tu
だ,da
づ,dzu
で,de
ど,do
でぃ,di
どぅ,du
づぁ,dza
づぃ,dzi
づぇ,dze
づぉ,dzo
な,na
に,ni
ぬ,nu
ね,ne
の,no
にゃ,nya
にゅ,nyu
にぇ,nye
にょ,nyo
は,ha
ひ,hi
ふ,fu
へ,he
ほ,ho
ひゃ,hya
ひゅ,hyu
ひぇ,hye
ひょ,hyo
ふぁ,fa
ふぃ,fi
ふぇ,fe
ふぉ,fo
ば,ba
び,bi
ぶ,bu
べ,be
ぼ,bo
びゃ,bya
びゅ,byu
びぇ,bye
びょ,byo
ぱ,pa
ぴ,pi
ぷ,pu
ぺ,pe
ぽ,po
ぴゃ,pya
ぴゅ,pyu
ぴぇ,pye
ぴょ,pyo
ま,ma
み,mi
む,mu
め,me
も,mo
みゃ,mya
みゅ,myu
みぇ,mye
みょ,myo
や,ya
ゆ,yu
いぇ,ye
よ,yo
ら,ra
り,ri
る,ru
れ,re
ろ,ro
りゃ,rya
りゅ,ryu
りぇ,rye
りょ,ryo
わ,wa
うぃ,wi
うぇ,we
を,wo
うぉ,w,
