a,あ
i,い
u,う
e,え
o,お
n,ん
ka,か
ki,き
ku,く
ke,け
ko,こ
kya,きゃ
kyu,きゅ
kye,きぇ
kyo,きょ
ga,が
gi,ぎ
gu,ぐ
ge,げ
go,ご
gya,ぎゃ
gyu,ぎゅ
gye,ぎぇ
gyo,ぎょ
sa,さ
shi,し
su,す
se,せ
so,そ
sha,しゃ
shu,しゅ
she,しぇ
sho,しょ
si,すぃ
za,ざ
ji,じ
zu,ず
ze,ぜ
zo,ぞ
ja,じゃ
ju,じゅ
je,じぇ
jo,じょ
zi,ずぃ
ta,た
chi,ち
tsu,つ
te,て
to,と
cha,ちゃ
chu,ちゅ
che,ちぇ
cho,ちょ
tsa,つぁ
tsi,つぃ
tse,つぇ
tso,つぉ
ti,てぃ
tu,とぅ
da,だ
dzu,づ
de,で
do,ど
di,でぃ
du,どぅ
dza,づぁ
dzi,づぃ
dze,づぇ
dzo,づぉ
na,な
ni,に
nu,ぬ
ne,ね
no,の
nya,にゃ
nyu,にゅ
nye,にぇ
nyo,にょ
ha,は
hi,ひ
fu,ふ
hu,ふ
he,へ
ho,ほ
hya,ひゃ
hyu,ひゅ
hye,ひぇ
hyo,ひょ
fa,ふぁ
fi,ふぃ
fe,ふぇ
fo,ふぉ
ba,ば
bi,び
bu,ぶ
be,べ
bo,ぼ
bya,びゃ
byu,びゅ
bye,びぇ
byo,びょ
pa,ぱ
pi,ぴ
pu,ぷ
pe,ぺ
po,ぽ
pya,ぴゃ
pyu,ぴゅ
pye,ぴぇ
pyo,ぴょ
ma,ま
mi,み
mu,む
me,め
mo,も
mya,みゃ
myu,みゅ
mye,みぇ
myo,みょ
ya,や
yu,ゆ
ye,いぇ
yo,よ
ra,ら
ri,り
ru,る
re,れ
ro,ろ
rya,りゃ
ryu,りゅ
rye,りぇ
ryo,りょ
wa,わ
wi,うぃ
we,うぇ
wo,を
